Perfect! Here are all the available API endpoints in your application:

ARCHIPELAGO ENDPOINTS
[GET] /api/archipelago/check-connection
[POST] /api/archipelago/push-document
[POST] /api/archipelago/push-bulk-job
[POST] /api/archipelago/push-project
[POST] /api/archipelago/push-bulk-ami
AUTH ENDPOINTS
[POST] /api/auth/register
[POST] /api/auth/login
[GET] /api/auth/google
[GET] /api/auth/google/callback
[POST] /api/auth/refresh
[GET] /api/auth/me
BULK ENDPOINTS
[POST] /api/bulk/browse-folders
[GET] /api/bulk/progress/<job_id>
[POST] /api/bulk/pause/<job_id>
[POST] /api/bulk/resume/<job_id>
[POST] /api/bulk/stop/<job_id>
[GET] /api/bulk/state/<job_id>
[POST] /api/bulk/process
[GET] /api/bulk/file/<path:filename>
[GET] /api/bulk/download/<job_id>
[POST] /api/bulk/status
[GET] /api/bulk/history
[GET] /api/bulk/job/<job_id>
[DELETE] /api/bulk/job/<job_id>
[GET] /api/bulk/resumable-jobs
[GET] /api/bulk/sample-results/<job_id>
[POST] /api/bulk/restore/<job_id>
OCR ENDPOINTS
[GET] /api/ocr/providers
[POST] /api/ocr/process/<image_id>
[GET] /api/ocr/image/<image_id>
[GET] /api/ocr/image/<image_id>/details
[PUT] /api/ocr/image/<image_id>/text
[POST] /api/ocr/batch-process
PROJECTS ENDPOINTS
[GET] /api/projects/<project_id>
[PUT] /api/projects/<project_id>
[DELETE] /api/projects/<project_id>
[GET] /api/projects/<project_id>/images
[POST] /api/projects/<project_id>/images
[POST] /api/projects/<project_id>/bulk-results
[DELETE] /api/projects/<project_id>/images/<image_id>
